#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,nmi,hPa,ft
2017,4,22,18,0,150,1,1,MM,MM,MM,MM,1021.3,7.1,6.8,3.2,MM,0.3,MM
2017,4,22,17,50,MM,0,0,0.3,3,3,0,1021.4,7.2,6.8,3.1,MM,MM,MM
2017,4,22,17,40,MM,0,1,MM,MM,MM,MM,1021.5,7,6.8,3.3,MM,MM,MM
2017,4,22,17,30,60,1,2,MM,MM,MM,MM,1021.5,6.7,6.9,3.2,MM,MM,MM
2017,4,22,17,20,40,1,2,MM,MM,MM,MM,1021.4,6.6,6.9,3.2,MM,MM,MM
2017,4,22,17,10,30,2,2,MM,MM,MM,MM,1021.4,6.6,6.9,3.3,MM,MM,MM
2017,4,22,17,0,20,2,2,MM,MM,MM,MM,1021.6,6.6,6.8,3.2,MM,0.6,MM
2017,4,22,16,50,20,2,3,0.4,3,3,20,1021.8,6.5,6.8,3.3,MM,MM,MM
2017,4,22,16,40,20,3,3,MM,MM,MM,MM,1021.7,6.5,6.7,3.3,MM,MM,MM
2017,4,22,16,30,20,3,4,MM,MM,MM,MM,1021.7,6.5,6.7,3.3,MM,MM,MM
2017,4,22,16,20,20,4,5,MM,MM,MM,MM,1021.5,6.4,6.7,3.4,MM,MM,MM
2017,4,22,16,10,20,5,6,MM,MM,MM,MM,1021.4,6.4,6.7,3.6,MM,MM,MM
2017,4,22,16,0,10,5,6,MM,MM,MM,MM,1021.4,6.3,6.7,3.8,MM,0.5,MM
2017,4,22,15,50,10,5,6,0.5,3,3,19,1021.2,6.3,6.7,3.6,MM,MM,MM
2017,4,22,15,40,20,6,7,MM,MM,MM,MM,1021.2,6.2,6.7,3.5,MM,MM,MM
2017,4,22,15,30,20,5,6,MM,MM,MM,MM,1021,6.2,6.7,3.5,MM,MM,MM
2017,4,22,15,20,20,5,6,MM,MM,MM,MM,1021.3,6.2,6.7,3.3,MM,MM,MM
2017,4,22,15,10,30,6,7,MM,MM,MM,MM,1021.1,6.2,6.7,3.2,MM,MM,MM
2017,4,22,15,0,20,6,7,MM,MM,MM,MM,1021.1,6.2,6.7,3.3,MM,0.3,MM
2017,4,22,14,50,20,6,7,0.5,3,3.1,21,1020.7,6.2,6.7,3.3,MM,MM,MM
2017,4,22,14,40,20,6,7,MM,MM,MM,MM,1020.6,6.1,6.7,3.2,MM,MM,MM
2017,4,22,14,30,20,6,7,MM,MM,MM,MM,1020.8,6.2,6.7,3.3,MM,MM,MM
2017,4,22,14,20,20,6,7,MM,MM,MM,MM,1020.8,6.1,6.7,3.2,MM,MM,MM
2017,4,22,14,10,20,6,7,MM,MM,MM,MM,1020.8,6.1,6.7,3.3,MM,MM,MM
2017,4,22,14,0,10,6,7,MM,MM,MM,MM,1021,6.1,6.7,3.3,MM,1,MM
2017,4,22,13,50,10,6,7,0.5,4,3.1,17,1021.2,6.1,6.7,3.2,MM,MM,MM
2017,4,22,13,40,10,7,8,MM,MM,MM,MM,1021.3,6.1,6.7,3.3,MM,MM,MM
2017,4,22,13,30,10,6,8,MM,MM,MM,MM,1021.1,6.1,6.7,3.4,MM,MM,MM
2017,4,22,13,20,10,7,8,MM,MM,MM,MM,1021.1,6.1,6.7,3.2,MM,MM,MM
2017,4,22,13,10,20,7,8,MM,MM,MM,MM,1020.9,6.1,6.7,3.4,MM,MM,MM
2017,4,22,13,0,20,6,7,MM,MM,MM,MM,1020.9,6.1,6.7,3.3,MM,2.1,MM
2017,4,22,12,50,20,6,8,0.5,3,3.1,13,1021,6.2,6.7,3.3,MM,MM,MM
2017,4,22,12,40,10,6,8,MM,MM,MM,MM,1020.8,6.3,6.7,3.4,MM,MM,MM
2017,4,22,12,30,10,6,7,MM,MM,MM,MM,1020.9,6.4,6.7,3.5,MM,MM,MM
2017,4,22,12,20,10,6,8,MM,MM,MM,MM,1021.1,6.4,6.7,3.4,MM,MM,MM
2017,4,22,12,10,10,7,9,MM,MM,MM,MM,1020.9,6.5,6.7,3.4,MM,MM,MM
2017,4,22,12,0,10,7,8,MM,MM,MM,MM,1020.8,6.5,6.7,3.4,MM,2,MM
2017,4,22,11,50,360,7,8,0.5,3,3,9,1020.6,6.5,6.7,3.5,MM,MM,MM
2017,4,22,11,40,360,7,8,MM,MM,MM,MM,1020.5,6.5,6.7,3.5,MM,MM,MM
2017,4,22,11,30,360,7,9,MM,MM,MM,MM,1020.5,6.5,6.7,3.5,MM,MM,MM
2017,4,22,11,20,360,6,8,MM,MM,MM,MM,1020.5,6.5,6.7,3.6,MM,MM,MM
